2,Tokyo,JPN,Tokyo,37977000,35.6897,139.6922
3,Jakarta,IDN,Jakarta,34540000,-6.2146,106.8451
4,Delhi,IND,Delhi,29617000,28.66,77.23
5,Mumbai,IND,Maharashtra,23355000,18.9667,72.8333
6,Manila,PHL,Manila,23088000,14.5958,120.9772
7,Shanghai,CHN,Shanghai,22120000,31.1667,121.4667
8,Sao Paulo,BRA,Sao Paulo,22046000,-23.5504,-46.6339
9,Seoul,KOR,Seoul,21794000,37.5833,127
10,Mexico City,MEX,Ciudad de Mexico,20996000,19.4333,-99.1333
11,Guangzhou,CHN,Guangdong,20902000,23.1288,113.259
12,Beijing,CHN,Beijing,19433000,39.905,116.3914
13,Cairo,EGY,Al Qahirah,19372000,30.0561,31.2394
14,New York,USA,New York,18713220,40.6943,-73.9249
15,Kolkata,IND,West Bengal,17560000,22.5411,88.3378
16,Moscow,RUS,Moskva,17125000,55.7558,37.6178
17,Bangkok,THA,Krung Thep Maha Nakhon,17066000,13.75,100.5167
18,Buenos Aires,ARG,"Buenos Aires, Ciudad Autonoma de",16157000,-34.5997,-58.3819
19,Shenzhen,CHN,Guangdong,15929000,22.535,114.054
20,Dhaka,BGD,Dhaka,15443000,23.7161,90.3961
21,Lagos,NGA,Lagos,15279000,6.45,3.4
22,Istanbul,TUR,Istanbul,15154000,41.01,28.9603
23,Osaka,JPN,Osaka,14977000,34.6936,135.5019
24,Karachi,PAK,Sindh,14835000,24.86,67.01
25,Bangalore,IND,Karnataka,13707000,12.9699,77.598
26,Tehran,IRN,Tehran,13633000,35.7,51.4167
27,Kinshasa,COD,Kinshasa,13528000,-4.3317,15.3139
28,Ho Chi Minh City,VNM,Ho^` Chi Minh,13312000,10.8167,106.6333
29,Los Angeles,USA,California,12750807,34.1139,-118.4068
30,Rio de Janeiro,BRA,Rio de Janeiro,12272000,-22.9083,-43.1964
31,Nanyang,CHN,Henan,12010000,32.9987,112.5292
32,Chennai,IND,Tamil Nadu,11324000,13.0825,80.275
33,Chengdu,CHN,Sichuan,11309000,30.6636,104.0667
34,Lahore,PAK,Punjab,11021000,31.5497,74.3436
35,Paris,FRA,Ile-de-France,11020000,48.8566,2.3522
36,London,GBR,"London, City of",10979000,51.5072,-0.1275
37,Linyi,CHN,Shandong,10820000,35.0606,118.3425
38,Tianjin,CHN,Tianjin,10800000,39.1467,117.2056
39,Shijiazhuang,CHN,Hebei,10784600,38.0422,114.5086
40,Baoding,CHN,Hebei,10700000,38.8671,115.4845
41,Zhoukou,CHN,Henan,9901000,33.625,114.6418
42,Lima,PER,Lima,9848000,-12.05,-77.0333
43,Hyderabad,IND,Telangana,9746000,17.3667,78.4667
44,Bogota,COL,Bogota,9464000,4.6126,-74.0705
45,Weifang,CHN,Shandong,9373000,36.7167,119.1
46,Nagoya,JPN,Aichi,9113000,35.1167,136.9333
47,Wuhan,CHN,Hubei,8962000,30.5872,114.2881
48,Heze,CHN,Shandong,8750000,35.2333,115.4333
49,Ganzhou,CHN,Jiangxi,8677600,25.8292,114.9336
50,Tongshan,CHN,Jiangsu,8669000,34.261,117.1859
51,Chicago,USA,Illinois,8604203,41.8373,-87.6862
52,Handan,CHN,Hebei,8499000,36.6116,114.4894
53,Luanda,AGO,Luanda,8417000,-8.8383,13.2344
54,Fuyang,CHN,Anhui,8360000,32.8986,115.8045
55,Kuala Lumpur,MYS,Kuala Lumpur,8285000,3.1478,101.6953
56,Jining,CHN,Shandong,8023000,35.4,116.5667
57,Dongguan,CHN,Guangdong,7981000,23.0475,113.7493
58,Hanoi,VNM,Ha No^.i,7785000,21.0245,105.8412
59,Pune,IND,Maharashtra,7764000,18.5196,73.8553
60,Chongqing,CHN,Chongqing,7739000,29.55,106.5069
61,Changchun,CHN,Jilin,7674439,43.9,125.2
62,Zhumadian,CHN,Henan,7640000,32.9773,114.0253
63,Ningbo,CHN,Zhejiang,7639000,29.875,121.5492
64,Onitsha,NGA,Anambra,7635000,6.1667,6.7833
65,Nanjing,CHN,Jiangsu,7496000,32.05,118.7667
66,Hefei,CHN,Anhui,7457027,31.8639,117.2808
67,Ahmadabad,IND,Gujarat,7410000,23.03,72.58
68,Hong Kong,HKG,,7347000,22.305,114.185
69,Khartoum,SDN,Khartoum,7282000,15.6031,32.5265
70,Nantong,CHN,Jiangsu,7282835,31.9829,120.8873
71,Yancheng,CHN,Jiangsu,7260240,33.3936,120.1339
72,Foshan,CHN,Guangdong,7194311,23.0292,113.1056
73,Nanning,CHN,Guangxi,7153300,22.8192,108.315
74,Hengyang,CHN,Hunan,7148344,26.8968,112.5857
75,Xi'an,CHN,Shaanxi,7135000,34.2667,108.9
76,Shenyang,CHN,Liaoning,7105000,41.8039,123.4258
77,Tangshan,CHN,Hebei,7100000,39.6292,118.1742
78,Shaoyang,CHN,Hunan,7071000,27.2418,111.4725
79,Changsha,CHN,Hunan,7044118,28.1987,112.9709
80,Santiago,CHL,Region Metropolitana,7007000,-33.45,-70.6667
81,Zhengzhou,CHN,Henan,7005000,34.7492,113.6605
82,Zhanjiang,CHN,Guangdong,6900000,21.1967,110.4031
83,Riyadh,SAU,Ar Riyad,6881000,24.65,46.71
84,Cangzhou,CHN,Hebei,6800000,38.3037,116.8452
